ontology ID	label	definition
unit:%5Bfth_i%5D	international fathom	
unit:%5Bfth_us%5D	US fathom	
unit:%5Bfur_us%5D	US furlong	
unit:%5Bg%5D	standard acceleration of free fall	
unit:%5Bgal_br%5D	British gallon	
unit:%5Bgal_us%5D	US gallon	
unit:%5Bgal_wi%5D	historical gallon	
unit:%5Bgil_br%5D	British gill	
unit:%5Bgil_us%5D	US gill	
unit:%5Bgr%5D	grain	
unit:%5Bh%5D	Planck constant	
unit:%5Bhd_i%5D	hand	
unit:%5Bhnsf%27U%5D	Hounsfield unit	
unit:%5Bhp%27_C%5D	homeopathic potency of centesimal series	
unit:%5Bhp%27_M%5D	homeopathic potency of millesimal series	
unit:%5Bhp%27_Q%5D	homeopathic potency of quintamillesimal series	
unit:%5Bhp%27_X%5D	homeopathic potency of decimal series	
unit:%5Bhp_C%5D	homeopathic potency of centesimal hahnemannian series	
unit:%5Bhp_M%5D	homeopathic potency of millesimal hahnemannian series	
unit:%5Bhp_Q%5D	homeopathic potency of quintamillesimal hahnemannian series	
unit:%5Bhp_X%5D	homeopathic potency of decimal hahnemannian series	
unit:%5BiU%5D	arbitrary international unit	
unit:%5Bin_br%5D	British inch	
unit:%5Bin_i%27H2O%5D	inch of water column	
unit:%5Bin_i%27Hg%5D	inch of mercury column	
unit:%5Bin_i%5D	inch	
unit:%5Bin_us%5D	US inch	
unit:%5Bk%5D	Boltzmann constant	
unit:%5Bka%27U%5D	King-Armstrong unit	
unit:%5Bkn_br%5D	British knot	
unit:%5Bkn_i%5D	international knot	
unit:%5Bknk%27U%5D	Kunkel unit	
unit:%5Bkp_C%5D	homeopathic potency of centesimal korsakovian series	
unit:%5Bkp_M%5D	homeopathic potency of millesimal korsakovian series	
unit:%5Bkp_Q%5D	homeopathic potency of quintamillesimal korsakovian series	
unit:%5Bkp_X%5D	homeopathic potency of decimal korsakovian series	
unit:%5Blb_ap%5D	apothecary pound	
unit:%5Blb_av%5D	international pound	
unit:%5Blb_tr%5D	troy pound	
unit:%5Blbf_av%5D	US pound force	
unit:%5Blcwt_av%5D	long hundredweight	
unit:%5Bligne%5D	French line	
unit:%5Blk_br%5D	British link for Gunter's chain	
unit:%5Blk_us%5D	US link for Gunter's chain	
unit:%5Blne%5D	British line	
unit:%5Blton_av%5D	British ton	
unit:%5Bly%5D	light-year	
unit:%5Bm_e%5D	electron mass	
unit:%5Bm_p%5D	proton mass	
unit:%5Bmclg%27U%5D	Mac Lagan unit	
unit:%5Bmesh_i%5D	mesh	
unit:%5Bmi_br%5D	British mile	
unit:%5Bmi_i%5D	international mile	
unit:%5Bmi_us%5D	US mile	
unit:%5Bmil_i%5D	international mil	
unit:%5Bmil_us%5D	US mil	
unit:%5Bmin_br%5D	British minim	
unit:%5Bmin_us%5D	US minim	
unit:%5Bmu_0%5D	permeability of free space	
unit:%5Bnmi_br%5D	British nautical mile	
unit:%5Bnmi_i%5D	nautical mile	
unit:%5Boz_ap%5D	apothecary ounce	
unit:%5Boz_av%5D	international ounce	
unit:%5Boz_m%5D	metric ounce	
unit:%5Boz_tr%5D	troy ounce	
unit:%5Bp%27diop%5D	prism diopter	
unit:%5BpH%5D	pH	
unit:%5Bpc_br%5D	British pace	
unit:%5Bpca%5D	pica	
unit:%5Bpca_pr%5D	Printer's pica	
unit:%5Bpi%5D	the number pi	
unit:%5Bpied%5D	pied	
unit:%5Bpk_br%5D	British peck	
unit:%5Bpk_us%5D	US peck	
unit:%5Bpnt%5D	point	
unit:%5Bpnt_pr%5D	Printer's point	
unit:%5Bpouce%5D	pouce	
unit:%5Bppb%5D	parts per billion	
unit:%5Bppm%5D	parts per million	
unit:%5Bppth%5D	parts per thousand	
unit:%5Bpptr%5D	parts per trillion	
unit:%5Bpsi%5D	pound per square inch	
unit:%5Bpt_br%5D	British pint	
unit:%5Bpt_us%5D	US pint	
unit:%5Bpwt_tr%5D	troy pennyweight	
unit:%5Bqt_br%5D	British quart	
unit:%5Bqt_us%5D	US quart	
unit:%5Brch_us%5D	US Ramden's chain	
unit:%5Brd_br%5D	British rod	
unit:%5Brd_us%5D	US rod	
unit:%5Brlk_us%5D	US link for Ramden's chain	
unit:%5Bsc_ap%5D	scruple	
unit:%5Bsct%5D	section	
unit:%5Bscwt_av%5D	short hundredweight	
unit:%5Bsft_i%5D	international square foot	
unit:%5Bsft_i%5D.h	international square foot hour	A unit which is equal to 1 international square foot by 1 hour.
unit:%5Bsft_i%5D.s	international square foot second	A unit which is equal to 1 international square foot by 1 second.
unit:%5Bsin_i%5D	international square inch	
unit:%5Bsmgy%27U%5D	Somogyi unit	
unit:%5Bsmi_us%5D	US square mile	
unit:%5Bsmoot%5D	Smoot	
unit:%5Bsrd_us%5D	US square rod	
unit:%5Bston_av%5D	US short ton	
unit:%5Bstone_av%5D	British stone	
unit:%5Bsyd_i%5D	square international yard	
unit:%5Btb%27U%5D	tuberculin unit	
unit:%5Btbs_m%5D	metric tablespoon	
unit:%5Btbs_us%5D	US tablespoon	
unit:%5Btodd%27U%5D	Todd unit	
unit:%5Btsp_m%5D	metric teaspoon	
unit:%5Btsp_us%5D	US teaspoon	
unit:%5Btwp%5D	township	
unit:%5Bwood%27U%5D	Wood unit	
unit:%5Byd_br%5D	British yard	
unit:%5Byd_i%5D	international yard	
unit:%5Byd_us%5D	US yard	
unit:A	ampere	An SI base unit which 1) is the SI unit of electric current and 2) is defined by taking the fixed numerical value of the elementary charge
unit:A-1.h-1.K-1	reciprocal ampere hour kelvin	A unit which is equal to the reciprocal of 1 ampere by 1 hour by 1 kelvin.
unit:A.Cel-1	ampere per degree Celsius	A unit which is equal to 1 ampere per 1 degree Celsius.
unit:A.J-1	ampere per joule	A unit which is equal to 1 ampere per 1 joule.
unit:A.K-1.m-2	ampere per kelvin square metre	A unit which is equal to 1 ampere per 1 kelvin by 1 square metre.
unit:A.MV	ampere megavolt	A unit which is equal to 1 ampere by 10⁶ volt.
unit:A.V	ampere volt	A unit which is equal to 1 ampere by 1 volt.
unit:A.V-1	ampere per volt	A unit which is equal to 1 ampere per 1 volt.
unit:A.W-1	ampere per watt	A unit which is equal to 1 ampere per 1 watt.
unit:A.cm-1	ampere per centimetre	A unit which is equal to 1 ampere per 10⁻² metre.
unit:A.cm-2	ampere per square centimetre	A unit which is equal to 1 ampere per 10⁻² square metre.
unit:A.h	ampere hour	A unit which is equal to 1 ampere by 1 hour.
unit:A.h.MV	ampere hour megavolt	A unit which is equal to 1 ampere by 1 hour by 10⁶ volt.
unit:A.h.V	ampere hour volt	A unit which is equal to 1 ampere by 1 hour by 1 volt.
unit:A.h.kV	ampere hour kilovolt	A unit which is equal to 1 ampere by 1 hour by 10³ volt.
unit:A.kV	ampere kilovolt	A unit which is equal to 1 ampere by 10³ volt.
unit:A.m-1	ampere per metre	A unit which is equal to 1 ampere per 1 metre.
unit:A.m-2	ampere per square metre	A unit which is equal to 1 ampere per 1 square metre.
unit:A.m2	ampere square metre	A unit which is equal to 1 ampere by 1 square metre.
unit:A.mm-1	ampere per millimetre	A unit which is equal to 1 ampere per 10⁻³ metre.
unit:A.mm-2	ampere per square millimetre	A unit which is equal to 1 ampere per 10⁻³ square metre.
unit:A.rad-1	ampere per radian	A unit which is equal to 1 ampere per 1 radian.
unit:A.s	ampere second	A unit which is equal to 1 ampere by 1 second.
unit:AU	astronomical unit	A unit which 1) is a unit of length
unit:Ao	Angstrom	
unit:Ao-1	reciprocal Angstrom	A unit which is equal to the reciprocal of 1 Angstrom.
unit:Ao2	square Angstrom	A unit which is equal to 1 square Angstrom.
unit:B	bel	A unit which 1) is a unit of logarithmic ratio quantities
unit:B%5B10.nV%5D	bel 10 nanovolt	
unit:B%5BSPL%5D	bel sound pressure	
unit:B%5BV%5D	bel volt	
unit:B%5BW%5D	bel watt	
unit:B%5BkW%5D	bel kilowatt	
unit:B%5BmV%5D	bel millivolt	
unit:B%5BuV%5D	bel microvolt	
unit:Bd	baud	
unit:Bi	Biot	
unit:Bi.cm-2	Biot per square centimetre	A unit which is equal to 1 Biot per 10⁻² square metre.
unit:Bi.cm2	Biot square centimetre	A unit which is equal to 1 Biot by 10⁻² square metre.
unit:Bq	becquerel	A special named SI unit which 1) is a unit of activity referred to a radionuclide and 2) is equal to a reciprocal second.
unit:Bq.L-1	becquerel per litre	A unit which is equal to 1 becquerel per 1 litre.
unit:Bq.kg-1	becquerel per kilogram	A unit which is equal to 1 becquerel per 10³ gram.
unit:Bq.m-2	becquerel per square metre	A unit which is equal to 1 becquerel per 1 square metre.
unit:Bq.m-3	becquerel per cubic metre	A unit which is equal to 1 becquerel per 1 cubic metre.
unit:Bq.s.m-3	becquerel second per cubic metre	A unit which is equal to 1 becquerel by 1 second per 1 cubic metre.
unit:By	byte	
unit:C	coulomb	A special named SI unit which 1) is a unit of electric charge and 2) is equal to an ampere second.
unit:C.V-1	coulomb per volt	A unit which is equal to 1 coulomb per 1 volt.
unit:C.cm-2	coulomb per square centimetre	A unit which is equal to 1 coulomb per 10⁻² square metre.
unit:C.kg-1	coulomb per kilogram	A unit which is equal to 1 coulomb per 10³ gram.
unit:C.m	coulomb metre	A unit which is equal to 1 coulomb by 1 metre.
unit:C.m-1	coulomb per metre	A unit which is equal to 1 coulomb per 1 metre.
unit:C.m-2	coulomb per square metre	A unit which is equal to 1 coulomb per 1 square metre.
unit:C.m-3	coulomb per cubic metre	A unit which is equal to 1 coulomb per 1 cubic metre.
unit:C.m2	coulomb square metre	A unit which is equal to 1 coulomb by 1 square metre.
unit:C.m2.V-1	coulomb square metre per volt	A unit which is equal to 1 coulomb by 1 square metre per 1 volt.
unit:C.mm-2	coulomb per square millimetre	A unit which is equal to 1 coulomb per 10⁻³ square metre.
unit:C.mm-3	coulomb per cubic millimetre	A unit which is equal to 1 coulomb per 10⁻³ cubic metre.
unit:C.mol-1	coulomb per mole	A unit which is equal to 1 coulomb per 1 mole.
unit:C2.m.J-1	square coulomb metre per joule	A unit which is equal to 1 square coulomb by 1 metre per 1 joule.
unit:C3.m.J-2	cubic coulomb metre per square joule	A unit which is equal to 1 cubic coulomb by 1 metre per 1 square joule.
unit:C4.m4.J-3	quartic coulomb quartic metre per cubic joule	A unit which is equal to 1 quartic coulomb by 1 quartic metre per 1 cubic joule.
unit:Cel	degree Celsius	A special named SI unit which 1) is a unit of temperature and 2) is equal to a one kelvin.
unit:Cel-1	reciprocal degree Celsius	A unit which is equal to the reciprocal of 1 degree Celsius.
unit:Cel-1.d-1	reciprocal degree Celsius day	A unit which is equal to the reciprocal of 1 degree Celsius by 1 day.
unit:Cel.K-1	degree Celsius per kelvin	A unit which is equal to 1 degree Celsius per 1 kelvin.
unit:Cel.a-1	degree Celsius per year	A unit which is equal to 1 degree Celsius per 1 year.
unit:Cel.cm	degree Celsius centimetre	A unit which is equal to 1 degree Celsius by 10⁻² metre.
unit:Cel.d	degree Celsius day	A unit which is equal to 1 degree Celsius by 1 day.
unit:Cel.h-1	degree Celsius per hour	A unit which is equal to 1 degree Celsius per 1 hour.
unit:Cel.kg.m-2	degree Celsius kilogram per square metre	A unit which is equal to 1 degree Celsius by 10³ gram per 1 square metre.
unit:Cel.m-1	degree Celsius per metre	A unit which is equal to 1 degree Celsius per 1 metre.
unit:Cel.min-1	degree Celsius per minute	A unit which is equal to 1 degree Celsius per 1 minute.
unit:Cel.mol	degree Celsius mole	A unit which is equal to 1 degree Celsius by 1 mole.
unit:Cel.s-1	degree Celsius per second	A unit which is equal to 1 degree Celsius per 1 second.
unit:Ci	curie	
unit:Ci.L-1	curie per litre	A unit which is equal to 1 curie per 1 litre.
unit:E%27%27	exaplane angle second	A unit which is equal to 10¹⁸ plane angle second.
unit:EA	exaampere	A unit which is equal to 10¹⁸ ampere.
unit:EB	exabel	A unit which is equal to 10¹⁸ bel.
unit:EBq	exabecquerel	A unit which is equal to 10¹⁸ becquerel.
unit:EC	exacoulomb	A unit which is equal to 10¹⁸ coulomb.
unit:EF	exafarad	A unit which is equal to 10¹⁸ farad.
unit:EGy	exagray	A unit which is equal to 10¹⁸ gray.
unit:EH	exahenry	A unit which is equal to 10¹⁸ henry.
unit:EHz	exahertz	A unit which is equal to 10¹⁸ hertz.
unit:EJ	exajoule	A unit which is equal to 10¹⁸ joule.
unit:EK	exakelvin	A unit which is equal to 10¹⁸ kelvin.
unit:EL	exalitre	A unit which is equal to 10¹⁸ litre.
unit:EN	exanewton	A unit which is equal to 10¹⁸ newton.
unit:ENp	exaneper	A unit which is equal to 10¹⁸ neper.
unit:EOhm	exaohm	A unit which is equal to 10¹⁸ ohm.
unit:EPa	exapascal	A unit which is equal to 10¹⁸ pascal.
unit:ES	exasiemens	A unit which is equal to 10¹⁸ siemens.
unit:ESv	exasievert	A unit which is equal to 10¹⁸ sievert.
unit:ET	exatesla	A unit which is equal to 10¹⁸ tesla.
unit:EV	exavolt	A unit which is equal to 10¹⁸ volt.
unit:EW	exawatt	A unit which is equal to 10¹⁸ watt.
unit:EWb	exaweber	A unit which is equal to 10¹⁸ weber.
unit:Ear	exaare	A unit which is equal to 10¹⁸ are.
unit:Ecd	exacandela	A unit which is equal to 10¹⁸ candela.
unit:EeV	exaelectronvolt	A unit which is equal to 10¹⁸ electronvolt.
unit:Eg	exagram	A unit which is equal to 10¹⁸ gram.
unit:Eg.L-1	exagram per litre	A unit which is equal to 10¹⁸ gram per 1 litre.
unit:Ekat	exakatal	A unit which is equal to 10¹⁸ katal.
unit:Elm	exalumen	A unit which is equal to 10¹⁸ lumen.
unit:Elx	exalux	A unit which is equal to 10¹⁸ lux.
unit:Em	exametre	A unit which is equal to 10¹⁸ metre.
unit:Em.s-1	exametre per second	A unit which is equal to 10¹⁸ metre per 1 second.
unit:Em.s-2	exametre per square second	A unit which is equal to 10¹⁸ metre per 1 square second.
unit:Em2	square exametre	A unit which is equal to 10¹⁸ square metre.
unit:Em3	cubic exametre	A unit which is equal to 10¹⁸ cubic metre.
unit:Emol	examole	A unit which is equal to 10¹⁸ mole.
unit:Emol.L-1	examole per litre	A unit which is equal to 10¹⁸ mole per 1 litre.
unit:Emol.m-1	examole per metre	A unit which is equal to 10¹⁸ mole per 1 metre.
unit:Erad	exaradian	A unit which is equal to 10¹⁸ radian.
unit:Es	exasecond	A unit which is equal to 10¹⁸ second.
unit:Es2	square exasecond	A unit which is equal to 10¹⁸ square second.
unit:Esr	exasteradian	A unit which is equal to 10¹⁸ steradian.
unit:Et	exatonne	A unit which is equal to 10¹⁸ tonne.
unit:Eu	exadalton	A unit which is equal to 10¹⁸ dalton.
unit:F	farad	A special named SI unit which 1) is a unit of capacitance and 2) is equal to a square ampere quartic second per kilogram square metre.
unit:F.km-1	farad per kilometre	A unit which is equal to 1 farad per 10³ metre.
unit:F.m-1	farad per metre	A unit which is equal to 1 farad per 1 metre.
unit:G	Gauss	
unit:G%27%27	gigaplane angle second	A unit which is equal to 10⁹ plane angle second.
unit:GA	gigaampere	A unit which is equal to 10⁹ ampere.
unit:GB	gigabel	A unit which is equal to 10⁹ bel.
unit:GBq	gigabecquerel	A unit which is equal to 10⁹ becquerel.
unit:GC	gigacoulomb	A unit which is equal to 10⁹ coulomb.
unit:GC.m-3	gigacoulomb per cubic metre	A unit which is equal to 10⁹ coulomb per 1 cubic metre.
unit:GF	gigafarad	A unit which is equal to 10⁹ farad.
unit:GF.cm-1	gigafarad per centimetre	A unit which is equal to 10⁹ farad per 10⁻² metre.
unit:GGy	gigagray	A unit which is equal to 10⁹ gray.
unit:GH	gigahenry	A unit which is equal to 10⁹ henry.
unit:GHz	gigahertz	A unit which is equal to 10⁹ hertz.
unit:GHz.m	gigahertz metre	A unit which is equal to 10⁹ hertz by 1 metre.
unit:GJ	gigajoule	A unit which is equal to 10⁹ joule.
unit:GK	gigakelvin	A unit which is equal to 10⁹ kelvin.
unit:GL	gigalitre	A unit which is equal to 10⁹ litre.
unit:GN	giganewton	A unit which is equal to 10⁹ newton.
unit:GNp	giganeper	A unit which is equal to 10⁹ neper.
unit:GOhm	gigaohm	A unit which is equal to 10⁹ ohm.
unit:GPa	gigapascal	A unit which is equal to 10⁹ pascal.
unit:GS	gigasiemens	A unit which is equal to 10⁹ siemens.
unit:GSv	gigasievert	A unit which is equal to 10⁹ sievert.
unit:GT	gigatesla	A unit which is equal to 10⁹ tesla.
unit:GV	gigavolt	A unit which is equal to 10⁹ volt.
unit:GW	gigawatt	A unit which is equal to 10⁹ watt.
unit:GW.h	gigawatt hour	A unit which is equal to 10⁹ watt by 1 hour.
unit:GWb	gigaweber	A unit which is equal to 10⁹ weber.
unit:Gal	Gal	
unit:Gar	gigaare	A unit which is equal to 10⁹ are.
unit:Gb	Gilbert	
unit:Gcd	gigacandela	A unit which is equal to 10⁹ candela.
unit:GeV	gigaelectronvolt	A unit which is equal to 10⁹ electronvolt.
unit:GeV-2	reciprocal square gigaelectronvolt	A unit which is equal to the reciprocal of 10⁹ square electronvolt.
unit:Gg	gigagram	A unit which is equal to 10⁹ gram.
unit:Gg.L-1	gigagram per litre	A unit which is equal to 10⁹ gram per 1 litre.
unit:Gkat	gigakatal	A unit which is equal to 10⁹ katal.
unit:Glm	gigalumen	A unit which is equal to 10⁹ lumen.
unit:Glx	gigalux	A unit which is equal to 10⁹ lux.
unit:Gm	gigametre	A unit which is equal to 10⁹ metre.
unit:Gm.s-1	gigametre per second	A unit which is equal to 10⁹ metre per 1 second.
unit:Gm.s-2	gigametre per square second	A unit which is equal to 10⁹ metre per 1 square second.
unit:Gm2	square gigametre	A unit which is equal to 10⁹ square metre.
unit:Gm3	cubic gigametre	A unit which is equal to 10⁹ cubic metre.
unit:Gmol	gigamole	A unit which is equal to 10⁹ mole.
unit:Gmol.L-1	gigamole per litre	A unit which is equal to 10⁹ mole per 1 litre.
unit:Gmol.m-1	gigamole per metre	A unit which is equal to 10⁹ mole per 1 metre.
unit:Grad	gigaradian	A unit which is equal to 10⁹ radian.
unit:Gs	gigasecond	A unit which is equal to 10⁹ second.
unit:Gs2	square gigasecond	A unit which is equal to 10⁹ square second.
unit:Gsr	gigasteradian	A unit which is equal to 10⁹ steradian.
unit:Gt	gigatonne	A unit which is equal to 10⁹ tonne.
unit:Gu	gigadalton	A unit which is equal to 10⁹ dalton.
unit:Gy	gray	A special named SI unit which 1) is a unit of absorbed dose and 2) is equal to a square metre per square second.
unit:Gy.s-1	gray per second	A unit which is equal to 1 gray per 1 second.
unit:H	henry	A special named SI unit which 1) is a unit of inductance or kerma and 2) is equal to a kilogram square metre per square ampere square second.
unit:H-1	reciprocal henry	A unit which is equal to the reciprocal of 1 henry.
unit:H.Ohm-1	henry per ohm	A unit which is equal to 1 henry per 1 ohm.
unit:H.kOhm-1	henry per kiloohm	A unit which is equal to 1 henry per 10³ ohm.
unit:H.m-1	henry per metre	A unit which is equal to 1 henry per 1 metre.
unit:Hz	hertz	A special named SI unit which 1) is a unit of frequency and 2) is equal to a reciprocal second.
unit:Hz.K-1	hertz per kelvin	A unit which is equal to 1 hertz per 1 kelvin.
unit:Hz.T-1	hertz per tesla	A unit which is equal to 1 hertz per 1 tesla.
unit:Hz.V-1	hertz per volt	A unit which is equal to 1 hertz per 1 volt.
unit:Hz.m	hertz metre	A unit which is equal to 1 hertz by 1 metre.
unit:Hz.m2	hertz square metre	A unit which is equal to 1 hertz by 1 square metre.
unit:Hz.m2.sr	hertz square metre steradian	A unit which is equal to 1 hertz by 1 square metre by 1 steradian.
unit:Hz2.m2	square hertz square metre	A unit which is equal to 1 square hertz by 1 square metre.
unit:Hz3.m2	cubic hertz square metre	A unit which is equal to 1 cubic hertz by 1 square metre.
unit:Hz4.m2	quartic hertz square metre	A unit which is equal to 1 quartic hertz by 1 square metre.
unit:J	joule	A special named SI unit which 1) is a unit of energy
unit:J-1.m-3	reciprocal joule cubic metre	A unit which is equal to the reciprocal of 1 joule by 1 cubic metre.
unit:J.K-1	joule per kelvin	A unit which is equal to 1 joule per 1 kelvin.
unit:J.K-1.kg-1	joule per kelvin kilogram	A unit which is equal to 1 joule per 1 kelvin by 10³ gram.
unit:J.K-1.kg-1.Pa-1	joule per kelvin kilogram pascal	A unit which is equal to 1 joule per 1 kelvin by 10³ gram by 1 pascal.
unit:J.K-1.m-3	joule per kelvin cubic metre	A unit which is equal to 1 joule per 1 kelvin by 1 cubic metre.
unit:J.K-1.mol-1	joule per kelvin mole	A unit which is equal to 1 joule per 1 kelvin by 1 mole.
unit:J.K.kg-1.m-3	joule kelvin per kilogram cubic metre	A unit which is equal to 1 joule by 1 kelvin per 10³ gram by 1 cubic metre.
unit:J.T-1	joule per tesla	A unit which is equal to 1 joule per 1 tesla.
unit:J.T-2	joule per square tesla	A unit which is equal to 1 joule per 1 square tesla.
unit:J.cm-2	joule per square centimetre	A unit which is equal to 1 joule per 10⁻² square metre.
unit:J.cm-2.d-1	joule per square centimetre day	A unit which is equal to 1 joule per 10⁻² square metre by 1 day.
unit:J.d-1.m-2	joule per day square metre	A unit which is equal to 1 joule per 1 day by 1 square metre.
unit:J.g-1	joule per gram	A unit which is equal to 1 joule per 1 gram.
unit:J.h-1	joule per hour	A unit which is equal to 1 joule per 1 hour.
unit:J.kg-1	joule per kilogram	A unit which is equal to 1 joule per 10³ gram.
unit:J.m-1	joule per metre	A unit which is equal to 1 joule per 1 metre.
unit:J.m-2	joule per square metre	A unit which is equal to 1 joule per 1 square metre.
unit:J.m-2.s-1	joule per square metre second	A unit which is equal to 1 joule per 1 square metre by 1 second.
unit:J.m-3	joule per cubic metre	A unit which is equal to 1 joule per 1 cubic metre.
unit:J.m-4	joule per quartic metre	A unit which is equal to 1 joule per 1 quartic metre.
unit:J.m.mol-1	joule metre per mole	A unit which is equal to 1 joule by 1 metre per 1 mole.
unit:J.m2.kg-1	joule square metre per kilogram	A unit which is equal to 1 joule by 1 square metre per 10³ gram.
unit:J.mol-1	joule per mole	A unit which is equal to 1 joule per 1 mole.
unit:J.s	joule second	A unit which is equal to 1 joule by 1 second.
unit:J.s-1	joule per second	A unit which is equal to 1 joule per 1 second.
unit:J.s.mol-1	joule second per mole	A unit which is equal to 1 joule by 1 second per 1 mole.
unit:K	kelvin	An SI base unit which 1) is the SI unit of thermodynamic temperature and 2) is defined by taking the fixed numerical value of the Boltzmann constant
unit:K-1	reciprocal kelvin	A unit which is equal to the reciprocal of 1 kelvin.
unit:K-1.m-1	reciprocal kelvin metre	A unit which is equal to the reciprocal of 1 kelvin by 1 metre.
unit:K.K-1	kelvin per kelvin	A unit which is equal to 1 kelvin per 1 kelvin.
unit:K.Pa.s-1	kelvin pascal per second	A unit which is equal to 1 kelvin by 1 pascal per 1 second.
unit:K.T-1	kelvin per tesla	A unit which is equal to 1 kelvin per 1 tesla.
unit:K.W-1	kelvin per watt	A unit which is equal to 1 kelvin per 1 watt.
unit:K.h-1	kelvin per hour	A unit which is equal to 1 kelvin per 1 hour.
unit:K.kg	kelvin kilogram	A unit which is equal to 1 kelvin by 10³ gram.
unit:K.m	kelvin metre	A unit which is equal to 1 kelvin by 1 metre.
unit:K.m-1	kelvin per metre	A unit which is equal to 1 kelvin per 1 metre.
unit:K.m.W-1	kelvin metre per watt	A unit which is equal to 1 kelvin by 1 metre per 1 watt.
unit:K.m.s-1	kelvin metre per second	A unit which is equal to 1 kelvin by 1 metre per 1 second.
unit:K.m2	kelvin square metre	A unit which is equal to 1 kelvin by 1 square metre.
unit:K.m2.W-1	kelvin square metre per watt	A unit which is equal to 1 kelvin by 1 square metre per 1 watt.
unit:K.m2.kg-1.s-1	kelvin square metre per kilogram second	A unit which is equal to 1 kelvin by 1 square metre per 10³ gram by 1 second.
unit:K.m3	kelvin cubic metre	A unit which is equal to 1 kelvin by 1 cubic metre.
